"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
,"Moto G (5) Plus",,,,,,,,,,,,,,,
,"vivo 1603",,,,,,,,,,,,,,,
,"SM-T590",,,,,,,,,,,,,,,
,"Lenovo P2a42",,,,,,,,,,,,,,,
,"ASUS_Z012DC",,,,,,,,,,,,,,,
,"Lenovo TB-X605LC",,,,,,,,,,,,,,,
,"SM-G9250",,,,,,,,,,,,,,,
,"SM-A810YZ",,,,,,,,,,,,,,,
,"801FJ",,,,,,,,,,,,,,,
,"TRT-LX2",,,,,,,,,,,,,,,
,"SM-P615",,,,,,,,,,,,,,,
,"Redmi Note 5 pro",,,,,,,,,,,,,,,
,"SM-A705FN",,,,,,,,,,,,,,,
,"SM-M115F",,,,,,,,,,,,,,,
,"1707-A01",,,,,,,,,,,,,,,
,"SM-S367VL",,,,,,,,,,,,,,,
,"XT1635-02",,,,,,,,,,,,,,,
,"CPH1607",,,,,,,,,,,,,,,
,"SUGAR C11s",,,,,,,,,,,,,,,
,"OPPO A57",,,,,,,,,,,,,,,
,"SM-N920V",,,,,,,,,,,,,,,
,"M6 Note",,,,,,,,,,,,,,,
,"BND-AL10",,,,,,,,,,,,,,,
,"OPPO A79kt",,,,,,,,,,,,,,,
,"SM-N910C",,,,,,,,,,,,,,,
,"SM-N910L",,,,,,,,,,,,,,,
,"SM-J710MN",,,,,,,,,,,,,,,
,"SHV40_u",,,,,,,,,,,,,,,
,"Phone",,,,,,,,,,,,,,,
,"SM-A605G",,,,,,,,,,,,,,,
,"SM-A800I",,,,,,,,,,,,,,,
,"Lenovo TB-8704F",,,,,,,,,,,,,,,
,"SM-T715Y",,,,,,,,,,,,,,,
,"SM-N920S",,,,,,,,,,,,,,,
,"brown 2",,,,,,,,,,,,,,,
,"SM-A700FD",,,,,,,,,,,,,,,
,"WAS-LX1",,,,,,,,,,,,,,,
,"Hisense C30",,,,,,,,,,,,,,,
,"E6853",,,,,,,,,,,,,,,
,"Moto Z3 Play",,,,,,,,,,,,,,,
,"SM-G973U",,,,,,,,,,,,,,,
,"vivo Y66",,,,,,,,,,,,,,,
,"SM-N910U",,,,,,,,,,,,,,,
,"moto g(6)",,,,,,,,,,,,,,,
,"Neffos Y7",,,,,,,,,,,,,,,
,"LDN-TL10",,,,,,,,,,,,,,,
,"Nokia 2.4",,,,,,,,,,,,,,,
,"SM-J600FN",,,,,,,,,,,,,,,
,"901ZT",,,,,,,,,,,,,,,
,"H10_US",,,,,,,,,,,,,,,
,"SM-J710K",,,,,,,,,,,,,,,
,"ILA X1",,,,,,,,,,,,,,,
